class,key,value,formula
indicators,numeric,⠼,dot3456
indicators,capital_letter,⠠,dot6
indicators,capital_word,⠠⠠,dot6+dot6
indicators,capital_passage,⠠⠠⠠,dot6+dot6+dot6
indicators,capital_terminator,⠠⠄,dot6+dot3
indicators,lower_letter,⠰,dot56
indicators,lower_word,⠰⠰,dot56+dot56
indicators,lower_passage,⠰⠰⠰,dot56+dot56+dot56
indicators,lower_terminator,⠰⠄,dot56+dot3
alphabet,a,⠁,dot1
alphabet,b,⠃,dot12
alphabet,c,⠉,dot14
alphabet,d,⠙,dot145
alphabet,e,⠑,dot15
alphabet,f,⠋,dot124
alphabet,g,⠛,dot1245
alphabet,h,⠓,dot125
alphabet,i,⠒,dot25
alphabet,j,⠚,dot245
alphabet,k,⠅,dot13
alphabet,l,⠇,dot123
alphabet,m,⠍,dot134
alphabet,n,⠝,dot1345
alphabet,o,⠕,dot135
alphabet,p,⠏,dot1234
alphabet,q,⠟,dot12345
alphabet,r,⠗,dot1235
alphabet,s,⠎,dot234
alphabet,t,⠞,dot2345
alphabet,u,⠥,dot136
alphabet,v,⠧,dot1236
alphabet,w,⠺,dot2456
alphabet,x,⠭,dot1346
alphabet,y,⠽,dot13456
alphabet,z,⠵,dot1356
numbers,1,⠁,dot1
numbers,2,⠃,dot12
numbers,3,⠉,dot14
numbers,4,⠙,dot145
numbers,5,⠑,dot15
numbers,6,⠋,dot124
numbers,7,⠛,dot1245
numbers,8,⠓,dot125
numbers,9,⠒,dot25
numbers,0,⠚,dot245
punctuation,",",⠂,dot2
punctuation,;,⠆,dot23
punctuation,:,⠒,dot25
punctuation,.,⠲,dot256
punctuation,?,⠦,dot236
punctuation,!,⠖,dot235
punctuation,',⠄,dot3
punctuation,“,⠘⠦,dot45+dot236
punctuation,”,⠘⠴,dot45+dot356
punctuation,‘,⠄⠦,dot3+dot236
punctuation,’,⠄⠴,dot3+dot356
punctuation,(,⠐⠣,dot5+dot126
punctuation,),⠐⠴,dot5+dot356
punctuation,/,⠸⠌,dot456+dot34
punctuation,\,⠸⠡,dot456+dot16
punctuation,-,⠤,dot36
punctuation,–,⠠⠤,dot6+dot36
punctuation,—,⠐⠠⠤,dot5+dot6+dot36
punctuation,(,⠐⠣,dot5+dot126
punctuation,),⠐⠜,dot5+dot345
punctuation,[,⠨⠣,dot46+dot126
punctuation,],⠨⠜,dot46+dot345
punctuation,{,⠸⠣,dot456+dot126
punctuation,},⠸⠸,dot456+dot456
punctuation,<,⠈⠣,dot4+dot126
punctuation,>,⠈⠜,dot4+dot345
punctuation,+,⠐⠖,dot5+dot235
punctuation,÷,⠐⠌,dot5+dot34
punctuation,=,⠐⠶,dot5+dot2356
punctuation,$,⠈⠎,dot4+dot234
punctuation,%,⠨⠴,dot46+dot356
punctuation,#,⠸⠹,dot456+dot1456
punctuation,&,⠈⠯,dot4+dot12346
punctuation,@,⠈⠁,dot4+dot1
punctuation,*,⠐⠔,dot5+dot35
strong_contractions,and,⠯,dot12346
strong_contractions,for,⠿,dot123456
strong_contractions,of,⠷,dot12356
strong_contractions,the,⠮,dot2346
strong_contractions,with,⠾,dot23456
strong_wordsigns,and,⠯,dot12346
strong_wordsigns,for,⠿,dot123456
strong_wordsigns,of,⠷,dot12356
strong_wordsigns,the,⠮,dot2346
strong_wordsigns,with,⠾,dot23456
lower_wordsigns,was,⠴,dot356
strong_groupsigns,ch,⠡,dot16
strong_groupsigns,sh,⠩,dot146
strong_groupsigns,th,⠹,dot1456
strong_groupsigns,wh,⠱,dot156
strong_groupsigns,ou,⠳,dot1256
strong_groupsigns,st,⠌,dot34
strong_groupsigns,gh,⠣,dot126
strong_groupsigns,ed,⠫,dot1246
strong_groupsigns,er,⠻,dot12456
strong_groupsigns,ow,⠪,dot246
strong_groupsigns,ar,⠜,dot345
strong_groupsigns,ing,⠬,dot346
lower_groupsigns,be,⠆,dot23
lower_groupsigns,con,⠒,dot25
lower_groupsigns,dis,⠲,dot256
lower_groupsigns,en,⠢,dot26
lower_groupsigns,in,⠔,dot35
middle_word_groupsigns,ea,⠂,dot2
middle_word_groupsigns,bb,⠆,dot23
middle_word_groupsigns,cc,⠒,dot25
middle_word_groupsigns,ff,⠖,dot235
middle_word_groupsigns,gg,⠶,dot2356
lower_wordsigns,be,⠆,dot23
lower_wordsigns,enough,⠢,dot26
lower_wordsigns,were,⠶,dot2356
lower_wordsigns,his,⠦,dot236
lower_wordsigns,in,⠔,dot35
alphabetic_wordsigns,but,⠃,dot12
alphabetic_wordsigns,can,⠉,dot14
alphabetic_wordsigns,do,⠙,dot145
alphabetic_wordsigns,every,⠑,dot15
alphabetic_wordsigns,from,⠋,dot124
alphabetic_wordsigns,go,⠛,dot1245
alphabetic_wordsigns,have,⠓,dot125
alphabetic_wordsigns,just,⠚,dot245
alphabetic_wordsigns,knowledge,⠅,dot13
alphabetic_wordsigns,like,⠇,dot123
alphabetic_wordsigns,more,⠍,dot134
alphabetic_wordsigns,not,⠝,dot1345
alphabetic_wordsigns,people,⠏,dot1234
alphabetic_wordsigns,quite,⠟,dot12345
alphabetic_wordsigns,rather,⠗,dot1235
alphabetic_wordsigns,so,⠎,dot234
alphabetic_wordsigns,that,⠞,dot2345
alphabetic_wordsigns,us,⠥,dot136
alphabetic_wordsigns,very,⠧,dot1236
alphabetic_wordsigns,will,⠺,dot2456
alphabetic_wordsigns,it,⠭,dot1346
alphabetic_wordsigns,you,⠽,dot13456
alphabetic_wordsigns,as,⠵,dot1356
strong_wordsigns,child,⠡,dot16
strong_wordsigns,shall,⠩,dot146
strong_wordsigns,this,⠹,dot1456
strong_wordsigns,which,⠱,dot156
strong_wordsigns,out,⠳,dot1256
strong_wordsigns,still,⠌,dot34
final_letter_groupsigns,ound,⠨⠙,dot46+dot145
final_letter_groupsigns,ance,⠨⠑,dot46+dot15
final_letter_groupsigns,sion,⠨⠝,dot46+dot1345
final_letter_groupsigns,less,⠨⠎,dot46+dot234
final_letter_groupsigns,ount,⠨⠞,dot46+dot2345
final_letter_groupsigns,ence,⠰⠑,dot56+dot15
final_letter_groupsigns,ong,⠰⠛,dot56+dot1245
final_letter_groupsigns,ful,⠰⠇,dot56+dot123
final_letter_groupsigns,tion,⠰⠝,dot56+dot1345
final_letter_groupsigns,ness,⠰⠎,dot56+dot234
final_letter_groupsigns,ment,⠰⠞,dot56+dot2345
final_letter_groupsigns,ity,⠰⠽,dot56+dot13456
initial_letter_contractions,day,⠐⠙,dot5+dot145
initial_letter_contractions,ever,⠐⠑,dot5+dot15
initial_letter_contractions,father,⠐⠋,dot5+dot124
initial_letter_contractions,here,⠐⠓,dot5+dot125
initial_letter_contractions,know,⠐⠅,dot5+dot13
initial_letter_contractions,lord,⠐⠇,dot5+dot123
initial_letter_contractions,mother,⠐⠍,dot5+dot134
initial_letter_contractions,name,⠐⠝,dot5+dot1345
initial_letter_contractions,one,⠐⠕,dot5+dot135
initial_letter_contractions,part,⠐⠏,dot5+dot1234
initial_letter_contractions,question,⠐⠟,dot5+dot12345
initial_letter_contractions,right,⠐⠗,dot5+dot1235
initial_letter_contractions,some,⠐⠎,dot5+dot234
initial_letter_contractions,time,⠐⠞,dot5+dot2345
initial_letter_contractions,under,⠐⠥,dot5+dot136
initial_letter_contractions,work,⠐⠺,dot5+dot2456
initial_letter_contractions,young,⠐⠽,dot5+dot13456
initial_letter_contractions,there,⠐⠮,dot5+dot2346
initial_letter_contractions,character,⠐⠡,dot5+dot16
initial_letter_contractions,through,⠐⠹,dot5+dot1456
initial_letter_contractions,where,⠐⠱,dot5+dot156
initial_letter_contractions,ought,⠐⠳,dot5+dot1256
initial_letter_contractions,upon,⠘⠥,dot45+dot136
initial_letter_contractions,word,⠘⠺,dot45+dot2456
initial_letter_contractions,these,⠘⠮,dot45+dot2346
initial_letter_contractions,those,⠘⠹,dot45+dot1456
initial_letter_contractions,whose,⠘⠱,dot45+dot156
initial_letter_contractions,cannot,⠸⠉,dot456+dot14
initial_letter_contractions,had,⠸⠓,dot456+dot125
initial_letter_contractions,many,⠸⠍,dot456+dot134
initial_letter_contractions,spirit,⠸⠎,dot456+dot234
initial_letter_contractions,world,⠸⠺,dot456+dot2456
initial_letter_contractions,their,⠸⠮,dot456+dot2346
shortform_words,about,⠁⠃,dot1+dot12
shortform_words,above,⠁⠃⠧,dot1+dot12+dot1236
shortform_words,according,⠁⠉,dot1+dot14
shortform_words,across,⠁⠉⠗,dot1+dot14+dot1235
shortform_words,after,⠁⠋,dot1+dot124
shortform_words,afternoon,⠁⠋⠝,dot1+dot124+dot1345
shortform_words,afterward,⠁⠋⠺,dot1+dot124+dot2456
shortform_words,again,⠁⠛,dot1+dot1245
shortform_words,against,⠁⠛⠌,dot1+dot1245+dot34
shortform_words,almost,⠁⠇⠍,dot1+dot123+dot134
shortform_words,already,⠁⠇⠗,dot1+dot123+dot1235
shortform_words,also,⠁⠇,dot1+dot123
shortform_words,although,⠁⠇⠹,dot1+dot123+dot1456
shortform_words,altogether,⠁⠇⠞,dot1+dot123+dot2345
shortform_words,always,⠁⠇⠺,dot1+dot123+dot2456
shortform_words,because,⠆⠉,dot23+dot14
shortform_words,before,⠆⠋,dot23+dot124
shortform_words,behind,⠆⠓,dot23+dot125
shortform_words,below,⠆⠇,dot23+dot123
shortform_words,beneath,⠆⠝,dot23+dot1345
shortform_words,beside,⠆⠞,dot23+dot2345
shortform_words,between,⠆⠞,dot23+dot2345
shortform_words,beyond,⠆⠽,dot23+dot13456
shortform_words,blind,⠃⠇,dot12+dot123
shortform_words,braille,⠙⠗⠇,dot145+dot1235+dot123
shortform_words,children,⠡⠝,dot16+dot1345
shortform_words,conceive,⠒⠉⠧,dot25+dot14+dot1236
shortform_words,conceiving,⠒⠉⠧⠛,dot25+dot14+dot1236+dot1245
shortform_words,could,⠉⠙,dot14+dot145
shortform_words,deceive,⠙⠉⠧,dot145+dot14+dot1236
shortform_words,deceiving,⠙⠉⠧⠛,dot145+dot14+dot1236+dot1245
shortform_words,declare,⠙⠉⠇,dot145+dot14+dot123
shortform_words,declaring,⠙⠉⠇⠛,dot145+dot14+dot123+dot1245
shortform_words,either,⠑⠒,dot15+dot25
shortform_words,first,⠋⠌,dot124+dot34
shortform_words,friend,⠋⠗,dot124+dot1235
shortform_words,good,⠛⠙,dot1245+dot145
shortform_words,great,⠛⠗⠞,dot1245+dot1235+dot2345
shortform_words,herself,⠓⠻⠋,dot125+dot12456+dot124
shortform_words,him,⠓⠍,dot125+dot134
shortform_words,himself,⠓⠍⠋,dot125+dot134+dot124
shortform_words,immediate,⠒⠍⠍,dot25+dot134+dot134
shortform_words,its,⠭⠎,dot1346+dot234
shortform_words,itself,⠭⠋,dot1346+dot124
shortform_words,letter,⠇⠗,dot123+dot1235
shortform_words,little,⠇⠇,dot123+dot123
shortform_words,much,⠍⠡,dot134+dot16
shortform_words,must,⠍⠌,dot134+dot34
shortform_words,myself,⠍⠽⠋,dot134+dot13456+dot124
shortform_words,necessary,⠝⠑⠉,dot1345+dot15+dot14
shortform_words,neither,⠝⠑⠒,dot1345+dot15+dot25
shortform_words,oneself,⠐⠕⠋,dot5+dot135+dot124
shortform_words,ourselves,⠳⠧⠎,dot1256+dot1236+dot234
shortform_words,paid,⠏⠙,dot1234+dot145
shortform_words,perceive,⠏⠻⠉⠧,dot1234+dot12456+dot14+dot1236
shortform_words,perceiving,⠏⠻⠉⠧⠛,dot1234+dot12456+dot14+dot1236+dot1245
shortform_words,perhaps,⠏⠻⠓,dot1234+dot12456+dot125
shortform_words,quick,⠟⠅,dot12345+dot13
shortform_words,receive,⠗⠉⠧,dot1235+dot14+dot1236
shortform_words,receiving,⠗⠉⠧⠛,dot1235+dot14+dot1236+dot1245
shortform_words,rejoice,⠗⠚⠉,dot1235+dot245+dot14
shortform_words,rejoicing,⠽⠚⠉⠛,dot13456+dot245+dot14+dot1245
shortform_words,said,⠎⠙,dot234+dot145
shortform_words,should,⠩⠙,dot146+dot145
shortform_words,such,⠎⠡,dot234+dot16
shortform_words,themselves,⠮⠍⠧⠎,dot2346+dot134+dot1236+dot234
shortform_words,thyself,⠹⠽⠋,dot1456+dot13456+dot124
shortform_words,today,⠞⠙,dot2345+dot145
shortform_words,together,⠞⠛⠽,dot2345+dot1245+dot13456
shortform_words,tomorrow,⠞⠍,dot2345+dot134
shortform_words,tonight,⠞⠝,dot2345+dot1345
